x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
RNF128,4.3923,4.3923,4.3923,4.4784,4.3923,4.3923,4.3923,4.6947,6.2396,7.0521,7.7523,7.6772,7.8194,7.3082,7.8249,0.027269749,5.090554449,1800,409,1104.5,1
RNF149,8.7029,8.6059,8.7731,8.9826,8.5999,8.0031,10.1456,9.5237,9.6966,8.5921,8.1346,8.2914,8.7054,8.8411,8.4991,0.011917298,2.653954701,1248,1377,1312.5,6
RNF157,9.8238,9.7576,9.8419,6.8233,8.4705,9.1921,9.8324,10.7177,10.6638,9.152,10.0153,9.5038,8.6521,8.0526,9.31,0.062137662,3.243468292,2383,939,1661,8
RNF170,6.7295,6.928,6.816,7.2504,7.1741,6.7821,5.9728,5.7443,6.4814,7.325,7.5297,7.7404,7.4588,7.4165,7.5865,0.009838135,2.742034168,1097,1282,1189.5,10
RNF19B,8.7891,8.7118,8.3673,8.7529,9.0136,9.6637,10.2527,10.8137,10.9157,9.8895,10.4973,9.9377,9.1858,8.2564,9.6082,0.056254464,2.971010492,2328,1105,1716.5,6
RNF213,10.2834,10.0519,10.414,9.7358,10.0881,9.9498,10.81,10.9301,10.9287,10.2836,10.2459,10.434,9.8603,9.973,9.9879,0.002189573,1.931675105,219,2612,1415.5,6
RNF216,4.9263,4.7262,4.7684,7.1353,7.3403,7.8344,4.3923,6.6094,6.8929,7.056,7.8772,7.5401,7.6465,6.9364,7.8015,0.198019135,2.063016747,2927,2371,2649,2
ROGDI,6.4292,6.5064,6.7283,7.9086,7.7711,8.4368,6.1301,7.2221,7.3202,4.3923,5.9802,5.3627,6.8364,5.4239,5.4521,0.171702729,3.076303461,2881,1024,1952.5,4
RORA,7.4675,7.3602,7.1967,8.7258,8.7319,8.6128,9.6864,9.5688,9.8412,9.4006,9.4085,9.4921,8.7957,8.6855,8.9958,0.007735987,1.831654731,846,2671,1758.5,6
RP23.100C5.8,5.6552,5.6378,5.6193,4.9322,4.8634,4.657,5.6559,5.5001,5.5864,4.6998,4.8284,4.6663,4.8905,4.8407,5.0163,0.00266845,1.832545837,297,2669,1483,3
RP23.394O9.3,5.7431,5.6457,5.4104,4.9267,4.6399,4.658,5.5966,5.6839,6.0236,4.3923,4.3923,4.8638,4.7273,4.63,4.5048,0.010568032,2.376096311,1154,1731,1442.5,3
